name,tcga code,MedianExpression,VarianceExpression
TRIM22,THYM,10.3256277678381,2.02147010445725
TRIM22,CHOL,8.41295488209527,2.02147010445725
TRIM22,LUSC,9.97050858077913,2.02147010445725
TRIM22,COAD,8.99962031759251,2.02147010445725
TRIM22,BRCA,9.79390563396943,2.02147010445725
TRIM22,LAML,11.874407177518,2.02147010445725
TRIM22,UCEC,9.65992712795532,2.02147010445725
TRIM29,PRAD,9.85454740243877,18.5467284351151
TRIM29,MESO,9.78249866502449,18.5467284351151
TRIM29,UVM,0,18.5467284351151
TRIM29,ACC,0,18.5467284351151
TRIM29,LGG,2.19206788447965,18.5467284351151
TRIM29,ESCA,12.8190506423685,18.5467284351151
TRIM29,KICH,1.82707248836424,18.5467284351151
TRIM29,CHOL,4.87234270874461,18.5467284351151
TRIM29,HNSC,14.228168579472,18.5467284351151
TRIM29,CESC,13.512592273505,18.5467284351151
TRIM29,SARC,4.15367564979724,18.5467284351151
TRIM29,LUSC,13.3585413189445,18.5467284351151
TRIM29,PAAD,11.6104059922255,18.5467284351151
TRIM29,LUAD,6.92004314150393,18.5467284351151
TRIM29,READ,10.695463210644,18.5467284351151
TRIM29,GBM,3.80053591444349,18.5467284351151
TRIM29,TGCT,2.61870904695438,18.5467284351151
TRIM29,UCEC,7.97410150405331,18.5467284351151
TRIM29,BLCA,12.7564235111817,18.5467284351151
TRIM29,LIHC,3.4036631138636,18.5467284351151
TRIM29,LAML,0.635508561035181,18.5467284351151
TRIM29,BRCA,8.66884953677817,18.5467284351151
TRIM29,PCPG,5.40891901281737,18.5467284351151
TRIM29,THYM,11.8415043420004,18.5467284351151
TRIM29,COAD,10.240775032598,18.5467284351151
TRIM29,STAD,9.32816098321742,18.5467284351151
TRIM29,DLBC,1.28182565310923,18.5467284351151
TRIM29,KIRP,5.87778692485353,18.5467284351151
TRIM29,UCS,7.73207243026986,18.5467284351151
TRIM29,KIRC,3.66343571009985,18.5467284351151
TRIM29,SKCM,2.15140425073462,18.5467284351151
TRIM29,OV,10.0707600815997,18.5467284351151
TRIM29,THCA,7.67536431274915,18.5467284351151
TRIM55,BRCA,0.970411945389473,8.22612434495988
TRIM55,LUAD,2.61624005561848,8.22612434495988
TRIM55,LIHC,9.68362628260773,8.22612434495988
TRIM55,THYM,4.97483064622659,8.22612434495988
TRIM55,THCA,4.40205360235294,8.22612434495988
TRIM55,BLCA,0.674596151179003,8.22612434495988
TRIM55,UCS,2.77808238763982,8.22612434495988
TRIM55,LUSC,1.56301165646584,8.22612434495988
TRIM55,SKCM,0.443182266992222,8.22612434495988
TRIM55,READ,0,8.22612434495988
TRIM55,ESCA,0.877115448407284,8.22612434495988
TRIM55,CHOL,2.48602288405432,8.22612434495988
TRIM55,LGG,1.06887714085031,8.22612434495988
TRIM55,LAML,0.263606586596232,8.22612434495988
TRIM55,CESC,0.733505319662054,8.22612434495988
TRIM55,KIRC,8.68608376624066,8.22612434495988
TRIM55,HNSC,2.42607923369132,8.22612434495988
TRIM55,TGCT,2.06398911538788,8.22612434495988
TRIM55,PRAD,0,8.22612434495988
TRIM55,MESO,0.888382834488422,8.22612434495988
TRIM55,PCPG,1.82911889634926,8.22612434495988
TRIM55,OV,2.15290115404859,8.22612434495988
TRIM55,ACC,3.97119404604657,8.22612434495988
TRIM55,PAAD,1.03808461203415,8.22612434495988
TRIM55,UVM,0,8.22612434495988
TRIM55,COAD,0,8.22612434495988
TRIM55,STAD,1.25233262051065,8.22612434495988
TRIM55,DLBC,1.57489485442961,8.22612434495988
TRIM55,KICH,3.42649138079959,8.22612434495988
TRIM55,SARC,1.31857715379608,8.22612434495988
TRIM55,GBM,0.577436714863673,8.22612434495988
TRIM55,KIRP,7.84145111907591,8.22612434495988
TRIM55,UCEC,2.57460253519777,8.22612434495988
TRIM58,TGCT,7.930351404725,7.16496836798308
TRIM58,SKCM,4.02567555820696,7.16496836798308
TRIM58,READ,3.41838806400694,7.16496836798308
TRIM58,PCPG,4.18378026394938,7.16496836798308
TRIM58,GBM,4.13004245146987,7.16496836798308
TRIM58,BRCA,6.47131754424631,7.16496836798308
TRIM58,THYM,6.1125202683129,7.16496836798308
TRIM58,KIRP,3.35255362931015,7.16496836798308
TRIM58,UVM,5.83673075463295,7.16496836798308
TRIM58,ACC,2.85720471588071,7.16496836798308
TRIM58,KICH,3.33115551530846,7.16496836798308
TRIM58,ESCA,2.21001515784365,7.16496836798308
TRIM58,OV,8.01623063352982,7.16496836798308
TRIM58,CHOL,1.97153034466142,7.16496836798308
TRIM58,PAAD,3.4183780701819,7.16496836798308
TRIM58,UCEC,3.81845148166873,7.16496836798308
TRIM58,LGG,3.77034278114896,7.16496836798308
TRIM58,CESC,2.32752616476578,7.16496836798308
TRIM58,STAD,2.94667586995958,7.16496836798308
TRIM58,HNSC,2.7103361018314,7.16496836798308
TRIM58,COAD,4.1574016782845,7.16496836798308
TRIM58,SARC,3.77937529946759,7.16496836798308
TRIM58,KIRC,4.35365498819,7.16496836798308
TRIM58,LUAD,2.80694266457776,7.16496836798308
TRIM58,UCS,4.75143158474347,7.16496836798308
TRIM58,MESO,7.95540580554246,7.16496836798308
TRIM58,THCA,8.42861141846713,7.16496836798308
TRIM58,DLBC,2.01788901001806,7.16496836798308
TRIM58,PRAD,6.9039661761757,7.16496836798308
TRIM58,LAML,9.92252285814238,7.16496836798308
TRIM58,LUSC,2.31376826243794,7.16496836798308
TRIM58,BLCA,2.02089179243882,7.16496836798308
TRIM58,LIHC,1.68252835287676,7.16496836798308
TRIM6,STAD,5.16376193183067,2.97431834751962
TRIM6,DLBC,3.56689047874709,2.97431834751962
TRIM6,LUAD,7.00636535408282,2.97431834751962
TRIM6,PCPG,4.89553529531831,2.97431834751962
TRIM6,TGCT,9.38361440478134,2.97431834751962
TRIM6,LIHC,5.48403498577795,2.97431834751962
TRIM6,BRCA,7.12895322038601,2.97431834751962
TRIM6,MESO,7.7809793165048,2.97431834751962
TRIM6,COAD,4.55104307127059,2.97431834751962
TRIM6,SARC,6.48040246887495,2.97431834751962
TRIM6,BLCA,7.14624374243914,2.97431834751962
TRIM6,THCA,7.4027136510602,2.97431834751962
TRIM6,KIRP,7.91909540769038,2.97431834751962
TRIM6,PRAD,5.52720486230499,2.97431834751962
